state,district,percentage_of_households_with_cleancookingfuel_2011,percentage_of_households_with_cleancookingfuel_2015_2016,improvement_percentagepoints
andaman and nicobar islands,nicobars,36.7,39.28,2.6
andaman and nicobar islands,north and middle andaman,22.4,35.51,13.1
andaman and nicobar islands,south andaman,56.0,77.28,21.3
andhra pradesh,anantapur,23.8,65.9,42.1
andhra pradesh,chittoor,32.6,59.36,26.8
andhra pradesh,east godavari,34.7,50.34,15.6
andhra pradesh,guntur,51.0,79.75,28.8
andhra pradesh,krishna,52.6,73.3,20.7
andhra pradesh,kurnool,23.0,63.65,40.7
andhra pradesh,prakasam,34.4,65.89,31.5
andhra pradesh,sri potti sriramulu,30.6,57.09,26.5
andhra pradesh,srikakulam,22.4,37.98,15.6
andhra pradesh,visakhapatnam,44.9,56.13,11.2
andhra pradesh,vizianagaram,23.9,48.1,24.2
andhra pradesh,west godavari,40.9,62.26,21.4
andhra pradesh,y.s.r.,30.5,72.11,41.6
arunachal pradesh,anjaw,11.5,24.69,13.2
arunachal pradesh,changlang,16.8,26.45,9.7
arunachal pradesh,dibang valley,32.3,33.83,1.5
arunachal pradesh,east kameng,24.8,36.8,12.0
arunachal pradesh,east siang,25.7,44.93,19.2
arunachal pradesh,kurung kumey,3.8,39.24,35.4
arunachal pradesh,lohit,22.5,23.91,1.4
arunachal pradesh,lower dibang valley,28.2,41.74,13.5
arunachal pradesh,lower subansiri,28.2,64.52,36.3
arunachal pradesh,papumpare,69.6,84.31,14.7
arunachal pradesh,tawang,40.1,45.59,5.5
arunachal pradesh,tirap,15.9,20.97,5.1
arunachal pradesh,upper siang,21.1,22.4,1.3
arunachal pradesh,upper subansiri,20.3,38.54,18.2
arunachal pradesh,west kameng,43.6,56.12,12.5
arunachal pradesh,west siang,29.9,48.74,18.8
assam,baksa,6.0,16.64,10.6
assam,barpeta,15.0,22.64,7.6
assam,bongaigaon,20.0,27.2,7.2
assam,cachar,17.1,28.83,11.7
assam,chirang,8.6,18.29,9.7
assam,darrang,9.5,17.64,8.1
assam,dhemaji,12.9,10.99,-1.9
assam,dhubri,7.1,16.68,9.6
assam,dibrugarh,28.2,28.07,-0.1
assam,dima hasao,23.0,24.25,1.3
assam,goalpara,11.1,21.28,10.2
assam,golaghat,18.3,15.73,-2.6
assam,hailakandi,8.0,13.75,5.8
assam,jorhat,30.9,34.36,3.5
assam,kamrup,23.2,37.33,14.1
assam,kamrup metropolitan,77.3,79,1.7
assam,karbi anglong,10.9,14.35,3.5
assam,karimganj,11.5,22.51,11.0
assam,kokrajhar,8.4,18.33,9.9
assam,lakhimpur,15.9,18.94,3.0
assam,morigaon,11.0,17.99,7.0
assam,nagaon,16.0,18.97,3.0
assam,nalbari,24.5,35.47,11.0
assam,sivasagar,25.1,26.43,1.3
assam,sonitpur,18.3,22.71,4.4
assam,tinsukia,26.4,26.93,0.5
assam,udalguri,8.2,14.1,5.9
bihar,araria,3.2,5.22,2.0
bihar,arwal,4.0,10.22,6.2
bihar,aurangabad,6.8,16.63,9.8
bihar,banka,4.4,9.33,4.9
bihar,begusarai,8.6,16.53,7.9
bihar,bhagalpur,11.6,23.2,11.6
bihar,bhojpur,11.8,21,9.2
bihar,buxar,11.0,23.27,12.3
bihar,darbhanga,7.8,18.31,10.5
bihar,gaya,9.0,15.55,6.6
bihar,gopalganj,7.6,20.42,12.8
bihar,jamui,4.6,9.23,4.6
bihar,jehanabad,9.2,20.08,10.9
bihar,kaimur,5.6,13.79,8.2
bihar,katihar,5.5,10.04,4.5
bihar,khagaria,4.9,13.42,8.5
bihar,kishanganj,3.6,5.65,2.1
