state,district,percentage_of_households_with_electricity_2011,percentage_of_households_with_electricity_2015_2016,improvement_percentagepoints
andaman and nicobar islands,nicobars,93.4,99.4,6.0
andaman and nicobar islands,north and middle andaman,70.8,92.45,21.7
andaman and nicobar islands,south andaman,91.9,98.72,6.8
andhra pradesh,anantapur,93.4,99.14,5.7
andhra pradesh,chittoor,92.4,98.56,6.2
andhra pradesh,east godavari,92.2,99.09,6.9
andhra pradesh,guntur,92.1,99.45,7.4
andhra pradesh,krishna,94.8,99.03,4.2
andhra pradesh,kurnool,93.1,99.65,6.6
andhra pradesh,prakasam,89.1,97.72,8.6
andhra pradesh,sri potti sriramulu,90.1,97.91,7.8
andhra pradesh,srikakulam,89.3,97.28,8.0
andhra pradesh,visakhapatnam,89.7,98.52,8.8
andhra pradesh,vizianagaram,88.5,98.07,9.6
andhra pradesh,west godavari,94.6,98.73,4.1
andhra pradesh,y.s.r.,95.5,99.65,4.2
arunachal pradesh,anjaw,46.6,90.38,43.8
arunachal pradesh,changlang,51.3,78.32,27.0
arunachal pradesh,dibang valley,57.4,91.77,34.4
arunachal pradesh,east kameng,36.4,50.47,14.1
arunachal pradesh,east siang,74.5,96.82,22.3
arunachal pradesh,kurung kumey,24.5,91.23,66.7
arunachal pradesh,lohit,58.3,78.4,20.1
arunachal pradesh,lower dibang valley,54.5,72.49,18.0
arunachal pradesh,lower subansiri,82.5,98.52,16.0
arunachal pradesh,papumpare,91.2,98.93,7.7
arunachal pradesh,tawang,91.1,95.42,4.3
arunachal pradesh,tirap,82.2,97.9,15.7
arunachal pradesh,upper siang,86.3,91.78,5.5
arunachal pradesh,upper subansiri,34.6,88.29,53.7
arunachal pradesh,west kameng,86.5,98.08,11.6
arunachal pradesh,west siang,69.4,94.38,25.0
assam,baksa,23.3,81.84,58.5
assam,barpeta,25.1,72.27,47.2
assam,bongaigaon,33.2,88.37,55.2
assam,cachar,38.1,67.51,29.4
assam,chirang,23.1,71.95,48.9
assam,darrang,24.2,77.03,52.8
assam,dhemaji,21.8,63.53,41.7
assam,dhubri,17.4,69.44,52.0
assam,dibrugarh,50.1,75.35,25.3
assam,dima hasao,45.2,79.18,34.0
assam,goalpara,39.8,71.25,31.5
assam,golaghat,36.6,86.81,50.2
assam,hailakandi,30.7,55.41,24.7
assam,jorhat,52.4,87.1,34.7
assam,kamrup,40.0,88.83,48.8
assam,kamrup metropolitan,86.4,95.01,8.6
assam,karbi anglong,30.5,81.69,51.2
assam,karimganj,28.7,71.32,42.6
assam,kokrajhar,23.0,74.07,51.1
assam,lakhimpur,29.7,77.58,47.9
assam,morigaon,28.2,77.72,49.5
assam,nagaon,34.9,83.42,48.5
assam,nalbari,44.0,84.03,40.0
assam,sivasagar,50.0,78.68,28.7
assam,sonitpur,34.5,79.63,45.1
assam,tinsukia,60.3,76.27,16.0
assam,udalguri,31.8,84.8,53.0
bihar,araria,7.7,48.58,40.9
bihar,arwal,1.9,47.12,45.2
bihar,aurangabad,11.5,59.74,48.2
bihar,banka,16.4,47.21,30.8
bihar,begusarai,20.2,63.64,43.4
bihar,bhagalpur,31.0,69.2,38.2
bihar,bhojpur,15.0,64.52,49.5
bihar,buxar,17.8,65.71,47.9
bihar,darbhanga,15.8,58.39,42.6
bihar,gaya,16.3,71.22,54.9
bihar,gopalganj,16.5,56.8,40.3
bihar,jamui,10.6,61.97,51.4
bihar,jehanabad,15.2,68.79,53.6
bihar,kaimur,21.6,73.58,52.0
bihar,katihar,9.9,31.59,21.7
bihar,khagaria,12.4,54.2,41.8
bihar,kishanganj,17.5,51.09,33.6
bihar,lakhisarai,27.1,79.27,52.2
bihar,madhepura,5.8,53.26,47.5
bihar,madhubani,12.6,53.69,41.1
bihar,munger,34.3,68.82,34.5
bihar,muzaffarpur,19.1,72.71,53.6
bihar,nalanda,20.8,69.32,48.5
bihar,nawada,9.0,56.72,47.7
bihar,pashchim champaran,8.1,46.14,38.0
bihar,patna,57.1,86.64,29.5
bihar,purba champaran,7.6,40.36,32.8
bihar,purnia,13.4,50.58,37.2
bihar,rohtas,25.2,81.1,55.9
bihar,saharsa,11.2,58.32,47.1
bihar,samastipur,10.4,39.86,29.5
bihar,saran,14.8,58.96,44.2
bihar,sheikhpura,19.3,79.12,59.8
bihar,sheohar,6.7,59.69,53.0
bihar,sitamarhi,9.0,39.41,30.4
bihar,siwan,9.7,53.24,43.5
bihar,supaul,11.6,60.86,49.3
bihar,vaishali,11.1,63.08,52.0
chandigarh,chandigarh,98.4,99.62,1.2
chhattisgarh,bastar,51.4,85.93,34.5
chhattisgarh,bijapur,24.8,91.58,66.8
chhattisgarh,bilaspur,84.4,99.31,14.9
chhattisgarh,dakshin bastar dant,38.2,86.75,48.6
chhattisgarh,dhamtari,88.5,98.17,9.7
chhattisgarh,durg,88.6,99.06,10.5
chhattisgarh,janjgir - champa,89.8,98.15,8.4
chhattisgarh,jashpur,40.3,84.14,43.8
chhattisgarh,kabirdham,85.2,95.16,10.0
chhattisgarh,korba,73.0,93.89,20.9
chhattisgarh,korea,52.6,90.65,38.1
chhattisgarh,mahasamund,82.8,97.97,15.2
chhattisgarh,narayanpur,34.6,77.6,43.0
chhattisgarh,raigarh,82.2,95.11,12.9
chhattisgarh,raipur,84.6,97.98,13.4
chhattisgarh,rajnandgaon,87.3,98.92,11.6
chhattisgarh,surguja,48.6,92.87,44.3
chhattisgarh,uttar bastar kanker,69.7,95.82,26.1
dadra and nagar haveli,dadra and nagar haveli,95.2,97.43,2.2
daman and diu,daman,99.1,100,0.9
daman and diu,diu,98.9,99.78,0.9
goa,north goa,97.1,99.63,2.5
goa,south goa,96.6,100,3.4
gujarat,ahmadabad,97.4,99.17,1.8
gujarat,amreli,92.9,98.91,6.0
gujarat,anand,88.6,97.6,9.0
gujarat,banaskantha,70.7,87.3,16.6
gujarat,bharuch,92.2,96.14,3.9
gujarat,bhavnagar,92.3,99.45,7.2
gujarat,dohad,73.1,78.5,5.4
gujarat,gandhinagar,91.4,94.81,3.4
gujarat,jamnagar,91.1,97.95,6.9
gujarat,junagadh,94.6,99.31,4.7
gujarat,kachchh,90.7,95.35,4.6
gujarat,kheda,80.5,94.46,14.0
gujarat,mahesana,90.5,96.77,6.3
gujarat,narmada,83.5,91.3,7.8
gujarat,navsari,91.0,97.76,6.8
gujarat,panchmahal,89.3,85.86,-3.4
gujarat,patan,83.0,93.24,10.2
gujarat,porbandar,93.8,99.25,5.5
gujarat,rajkot,95.5,98.58,3.1
gujarat,sabarkantha,91.7,95.16,3.5
gujarat,surat,96.4,98.34,1.9
gujarat,surendranagar,88.2,95.58,7.4
gujarat,tapi,81.0,91.57,10.6
gujarat,the dangs,61.5,87.02,25.5
gujarat,vadodara,90.7,96.95,6.3
gujarat,valsad,91.0,98.26,7.3
haryana,ambala,96.0,99.83,3.8
haryana,bhiwani,86.2,99.19,13.0
haryana,faridabad,94.4,99.23,4.8
haryana,fatehabad,87.1,99.76,12.7
haryana,gurgaon,95.4,99.81,4.4
haryana,hisar,87.7,98.99,11.3
haryana,jhajjar,91.9,99.01,7.1
haryana,jind,91.0,99.53,8.5
haryana,kaithal,93.6,99.89,6.3
haryana,karnal,93.9,99.48,5.6
haryana,kurukshetra,95.8,99.87,4.1
haryana,mahendragarh,80.4,98.56,18.2
haryana,mewat,61.3,88.54,27.2
haryana,palwal,79.0,93.23,14.2
haryana,panchkula,93.8,99.63,5.8
haryana,panipat,95.3,100,4.7
haryana,rewari,90.3,98.59,8.3
haryana,rohtak,95.2,99.14,3.9
haryana,sirsa,89.7,98.87,9.2
haryana,sonipat,93.8,99.7,5.9
haryana,yamunanagar,95.3,99.87,4.6
himachal pradesh,bilaspur,98.4,99.88,1.5
himachal pradesh,chamba,94.2,98.65,4.5
himachal pradesh,hamirpur,99.1,99.49,0.4
himachal pradesh,kangra,98.1,100,1.9
himachal pradesh,kinnaur,91.5,99.11,7.6
himachal pradesh,kullu,95.6,99.53,3.9
himachal pradesh,lahul and spiti,83.9,97.75,13.9
himachal pradesh,mandi,97.5,99.51,2.0
himachal pradesh,shimla,95.6,99.65,4.1
himachal pradesh,sirmaur,94.3,98.76,4.5
himachal pradesh,solan,97.2,98.77,1.6
himachal pradesh,una,96.6,99.77,3.2
jammu and kashmir,anantnag,80.4,96.67,16.3
jammu and kashmir,badgam,90.9,99.03,8.1
jammu and kashmir,bandipore,80.1,95.14,15.0
jammu and kashmir,baramula,94.7,99.8,5.1
jammu and kashmir,doda,78.6,94.39,15.8
jammu and kashmir,ganderbal,89.0,99.67,10.7
jammu and kashmir,jammu,97.6,99.89,2.3
jammu and kashmir,kargil,86.9,97.28,10.4
jammu and kashmir,kathua,92.9,99.62,6.7
jammu and kashmir,kishtwar,54.1,87.83,33.7
jammu and kashmir,kulgam,69.2,97.03,27.8
jammu and kashmir,kupwara,77.8,93.28,15.5
jammu and kashmir,leh,83.0,99.54,16.5
jammu and kashmir,pulwama,90.6,98.65,8.1
jammu and kashmir,punch,70.8,96.81,26.0
jammu and kashmir,rajouri,77.4,94.33,16.9
jammu and kashmir,ramban,63.2,89.07,25.9
jammu and kashmir,reasi,57.7,90.58,32.9
jammu and kashmir,samba,97.4,99.31,1.9
jammu and kashmir,shupiyan,84.1,96.65,12.6
jammu and kashmir,srinagar,98.8,99.98,1.2
jammu and kashmir,udhampur,79.1,97.55,18.5
jharkhand,bokaro,70.2,87.29,17.1
jharkhand,chatra,14.9,41.95,27.1
jharkhand,deoghar,50.0,80.39,30.4
jharkhand,dhanbad,85.6,95.91,10.3
