state,district,percentage_of_households_with_latrines_2011,percentage_of_households_with_latrines_2015_2016,improvement_percentagepoints
andaman and nicobar islands,nicobars,80.9,94.63,13.7
andaman and nicobar islands,north and middle andaman,47.7,60.95,13.3
andaman and nicobar islands,south andaman,78.2,93.34,15.1
andhra pradesh,anantapur,34.5,51.93,17.4
andhra pradesh,chittoor,36.3,48.9,12.6
andhra pradesh,east godavari,56.3,67.86,11.6
andhra pradesh,guntur,58.8,73.16,14.4
andhra pradesh,krishna,69.5,75.55,6.1
andhra pradesh,kurnool,39.4,57.12,17.7
andhra pradesh,prakasam,37.1,56.86,19.8
andhra pradesh,sri potti sriramulu,38.9,56.33,17.4
andhra pradesh,srikakulam,21.0,35.11,14.1
andhra pradesh,visakhapatnam,50.6,59.88,9.3
andhra pradesh,vizianagaram,21.9,34.53,12.6
andhra pradesh,west godavari,64.2,77.79,13.6
andhra pradesh,y.s.r.,43.9,70.32,26.4
arunachal pradesh,anjaw,27.7,61.98,34.3
arunachal pradesh,changlang,67.5,93.46,26.0
arunachal pradesh,dibang valley,65.6,95.42,29.8
arunachal pradesh,east kameng,29.1,63.05,34.0
arunachal pradesh,east siang,60.2,89.85,29.7
arunachal pradesh,kurung kumey,14.8,73.08,58.3
arunachal pradesh,lohit,57.5,86.26,28.8
arunachal pradesh,lower dibang valley,53.7,82.7,29.0
arunachal pradesh,lower subansiri,67.6,88.26,20.7
arunachal pradesh,papumpare,75.9,97.19,21.3
arunachal pradesh,tawang,68.8,71.02,2.2
arunachal pradesh,tirap,76.8,95.78,19.0
arunachal pradesh,upper siang,43.2,75.83,32.6
arunachal pradesh,upper subansiri,34.8,77.44,42.6
arunachal pradesh,west kameng,49.9,84.29,34.4
arunachal pradesh,west siang,65.3,95.57,30.3
assam,baksa,37.9,82.9,45.0
assam,barpeta,69.9,85.62,15.7
assam,bongaigaon,55.0,82.55,27.6
assam,cachar,78.5,73.47,-5.0
assam,chirang,27.5,64.16,36.7
assam,darrang,49.3,85.54,36.2
assam,dhemaji,42.9,71.21,28.3
assam,dhubri,41.7,81.17,39.5
assam,dibrugarh,77.0,89.44,12.4
assam,dima hasao,67.8,81.24,13.4
assam,goalpara,63.9,88.65,24.8
assam,golaghat,67.0,94.24,27.2
assam,hailakandi,81.3,91.47,10.2
