state,district,percentage_of_population_owning_tv,percentage_of_population_owning_fan,percentage_of_population_owning_ac_or_cooler,percentage_of_population_owning_washingmachine,percentage_of_population_owning_refrigerator
goa,north goa,94.3,98.37,20.93,50.84,68.22
goa,south goa,95.47,98.42,18.23,51.03,75.7
gujarat,ahmadabad,89.54,99.04,30.61,18.02,70.9
gujarat,amreli,87.4,98.88,4.95,7.02,51.27
gujarat,anand,77.86,94.98,7.22,5.6,38.94
gujarat,banaskantha,52.18,79.57,3.68,2.27,25.81
gujarat,bharuch,77.97,94.53,8.22,7.89,51.24
gujarat,bhavnagar,79.09,97.48,4.65,5.88,36.44
gujarat,dohad,33.08,65.24,3.71,4.33,13.27
gujarat,gandhinagar,80.95,91.11,12.62,4.91,52.52
gujarat,jamnagar,84.82,97.72,8.59,8.41,50.61
gujarat,junagadh,87.4,99.75,5.14,5.37,40.68
gujarat,kachchh,75.13,92.9,6.39,6.87,39.33
gujarat,kheda,68.05,92.19,3.7,2.93,26.84
gujarat,mahesana,83.75,96.22,12.66,4.98,54.86
gujarat,narmada,60.83,76.17,4.13,2.79,23.1
gujarat,navsari,78.7,92.15,4.46,5.07,52.28
gujarat,panchmahal,48.31,77.75,5.18,5.48,22.16
gujarat,patan,67.89,93.41,4.8,3.86,29.67
gujarat,porbandar,89.02,98.21,6.28,8.43,46.2
gujarat,rajkot,88.69,97.68,10.46,15.13,63.82
gujarat,sabarkantha,60.28,88.64,8.19,3.82,34.83
gujarat,surat,84.75,98.1,11.85,16.79,61.67
gujarat,surendranagar,79.7,97.11,7.89,5.73,40.49
gujarat,tapi,69.1,84.95,3.78,1.99,31.35
gujarat,the dangs,53.09,46.6,0.29,0.49,11.06
gujarat,vadodara,71.38,90.2,9.93,10.85,44.88
gujarat,valsad,78.82,88.54,6.88,11.12,53.26
haryana,ambala,97.99,99.64,80.09,68.29,85.86
haryana,bhiwani,90.86,99.25,67.03,54.77,64.42
haryana,faridabad,88.67,97.08,56.43,40.03,62.12
haryana,fatehabad,93.5,98.88,62.33,48.31,75.66
haryana,gurgaon,88.81,96.36,60.34,49.06,58.57
haryana,hisar,90.65,98.22,63.75,46.07,64.64
haryana,jhajjar,92.99,98.71,67.08,60.54,72.24
haryana,jind,93.82,98.89,59.42,50.26,69.1
haryana,kaithal,95.74,99.06,65.04,50.73,69.61
haryana,karnal,95.26,99.02,64.16,51.78,69.68
haryana,kurukshetra,95.42,99.11,69.91,53.72,77.89
haryana,mahendragarh,91.07,98.36,58.47,40.11,65.46
haryana,mewat,31.52,85.25,31.15,26.83,40.96
haryana,palwal,71.26,91.38,40.96,38.4,48.75
haryana,panchkula,95.25,99.27,78.92,69.09,88.75
haryana,panipat,93.63,98.84,65.87,67.08,76.89
haryana,rewari,86.86,97.7,56.01,43.79,65.75
haryana,rohtak,93.43,98.09,56.33,54.84,69.67
haryana,sirsa,91.13,98.81,72.09,48.07,69.14
haryana,sonipat,95.06,99.14,64.83,64.81,73.54
haryana,yamunanagar,91.69,98.81,63,54.69,77.18
himachal pradesh,bilaspur,89.04,98,12.51,38.74,73.31
himachal pradesh,chamba,85.18,51.67,2.58,21.95,51.54
himachal pradesh,hamirpur,94.73,96.7,9.38,48.75,77.02
himachal pradesh,kangra,95.07,95.28,15.25,43.15,81.33
himachal pradesh,kinnaur,91.32,7.32,0,33,40.51
himachal pradesh,kullu,89.79,30.88,1.25,19.09,41.15
himachal pradesh,lahul and spiti,91.59,0.47,0,6.09,20.4
himachal pradesh,mandi,88.07,55.93,2.08,23.26,49.35
himachal pradesh,shimla,89.98,15.41,1.24,39.85,55.53
himachal pradesh,sirmaur,79.71,78.81,23.88,32.18,61.15
himachal pradesh,solan,91.03,85.51,24.77,45.71,70.45
himachal pradesh,una,93.18,98.17,27.88,41.16,75.23
jammu and kashmir,anantnag,67.27,59.66,1.88,30.25,26.87
jammu and kashmir,badgam,73.49,70.91,3.03,31.86,32.46
jammu and kashmir,bandipore,73.5,64.24,4.02,22.16,25.87
jammu and kashmir,baramula,78.69,70.92,4.18,35.11,38.64
jammu and kashmir,doda,38.8,36.89,1.44,6.3,19.53
jammu and kashmir,ganderbal,74.94,75.77,1.61,33.4,38.19
jammu and kashmir,jammu,91.87,95.78,71.55,52.82,83.61
jammu and kashmir,kargil,70.4,11.01,0.78,17.38,12.91
jammu and kashmir,kathua,81.12,86.32,51.19,29.7,63.24
jammu and kashmir,kishtwar,49.11,37.29,3.45,12.33,26.5
jammu and kashmir,kulgam,58.24,47.45,0.59,20.27,14.13
jammu and kashmir,kupwara,48.42,47.74,2.04,18.3,22.89
jammu and kashmir,leh,85.19,9.08,0.27,43.71,33.34
jammu and kashmir,pulwama,71.59,80.74,4.55,39.95,43.99
jammu and kashmir,punch,51.38,60.79,11.02,21.3,31.96
jammu and kashmir,rajouri,56.06,70.56,14.27,21.46,38.56
jammu and kashmir,ramban,37,24.12,1.91,8.04,15.33
jammu and kashmir,reasi,60.33,69,25.03,17.31,36.15
jammu and kashmir,samba,82.77,91.72,59.95,43.11,77.04
jammu and kashmir,shupiyan,63.39,53.16,1.83,32.72,27.28
jammu and kashmir,srinagar,94.66,96.45,16.39,77.92,81.44
jammu and kashmir,udhampur,63.07,73.31,37.62,17.43,50.81
jharkhand,bokaro,56.42,76.36,16.51,10.98,22.34
jharkhand,chatra,16.3,26.66,1.42,2.33,3.79
jharkhand,deoghar,39.17,60.12,4.79,4.08,10.86
jharkhand,dhanbad,69.79,88.98,10.41,10.31,21.93
jharkhand,dumka,20.48,35.85,1.86,1.82,3.31
jharkhand,garhwa,14.16,26.21,1.77,0.36,1.62
jharkhand,giridih,37.83,63.42,4.83,2.16,7.32
jharkhand,godda,20.13,48.86,2.56,0.36,4
jharkhand,gumla,26.15,35.28,3.17,1.84,5.3
jharkhand,hazaribagh,53.85,77.86,11.15,4.18,11.58
jharkhand,jamtara,31.38,57.5,3.06,0.55,4.01
jharkhand,khunti,25.25,31.45,2.19,1.44,4.42
jharkhand,kodarma,46.97,78.33,18.02,7.05,16.07
jharkhand,latehar,18.7,26.6,2.22,2.03,3.8
jharkhand,lohardaga,30.56,38.55,3.78,4.01,6.74
jharkhand,pakur,23.73,49.31,1.81,0.95,2.66
jharkhand,palamu,25.15,39.2,4.99,2.41,6.68
jharkhand,pashchimi singhbhu,21.55,32.38,4.73,2.76,5.84
jharkhand,purbi singhbhum,62.52,78.26,25.95,17.92,28.98
jharkhand,ramgarh,66.02,83.78,10.11,6.79,19.8
jharkhand,ranchi,61.23,69.58,12.13,13.58,22.67
jharkhand,sahibganj,24.97,58.43,0.71,1.67,5.66
jharkhand,saraikela kharsawa,45.39,64.85,16.95,7.92,17.27
jharkhand,simdega,14.37,26.97,1.93,0.84,1.78
karnataka,bagalkot,75.83,76.04,1.67,1.43,9.16
karnataka,bangalore,96.48,97.22,13.88,41.29,61.4
karnataka,bangalore rural,88.7,83.55,1.19,11.83,28.97
karnataka,belgaum,81.53,83.78,3.07,5.57,16.37
karnataka,bellary,81.53,85.3,3.63,3.89,13.03
karnataka,bidar,75.17,82.3,5.77,5.3,11.65
karnataka,bijapur,76.83,68.8,2.38,2.65,12.07
karnataka,chamarajanagar,81.01,54.37,0.53,3.58,4.2
karnataka,chikkaballapura,79.73,74.2,1.89,6.64,18.49
karnataka,chikmagalur,86.6,58.09,1.66,8.33,14.23
karnataka,chitradurga,80.87,75.18,1.34,5.08,14.61
karnataka,dakshina kannada,87.71,91.27,6.39,18.73,41.54
karnataka,davanagere,88.8,89.31,2.36,8.32,16.81
karnataka,dharwad,86.11,79.46,4.71,10.49,26.66
karnataka,gadag,78.54,71.87,1.51,4.37,10.19
karnataka,gulbarga,83.84,78.13,4.56,5.25,14.85
karnataka,hassan,87.77,64.86,0.93,11.56,19.26
karnataka,haveri,81.67,76.55,0.97,2.2,7.76
karnataka,kodagu,86.24,60,2.64,13.12,25.8
karnataka,kolar,87.69,83.77,2.35,10.83,22.16
karnataka,koppal,81.55,80.52,0.86,2.04,7.58
karnataka,mandya,86.91,76.68,2.14,4.86,13.55
karnataka,mysore,86.67,69.11,1.98,12.61,21.61
karnataka,raichur,75.67,83.94,4.46,4,13.36
karnataka,ramanagara,90.12,82.56,2.8,9.41,21.56
karnataka,shimoga,87.62,70.59,3.47,12.27,21.29
karnataka,tumkur,81.89,75.72,0.62,6.5,13.13
karnataka,udupi,90.56,93.09,4.26,14.69,42.45
karnataka,uttara kannada,81.45,75.76,1.89,9.61,22.94
karnataka,yadgir,68.28,73.43,4.04,3.29,10.21
kerala,alappuzha,95.75,98.63,7.51,25.81,69.48
kerala,ernakulam,96.6,99.54,20.74,52.48,83.67
