state,district,per_affluent,per_middleincome,per_poor
andaman and nicobar islands ,nicobars ,10.89,84.67,4.43
andaman and nicobar islands ,north & middle anda ,17.92,73.5,8.58
andaman and nicobar islands ,south andaman ,53.73,45.37,0.91
andhra pradesh ,anantapur ,15.52,83.27,1.21
andhra pradesh ,chittoor ,24.74,73.61,1.65
andhra pradesh ,east godavari ,24.48,73.58,1.94
andhra pradesh ,guntur ,22.25,74.53,3.22
andhra pradesh ,krishna ,25.22,72.38,2.4
andhra pradesh ,kurnool ,18.41,80.42,1.17
andhra pradesh ,prakasam ,19.66,77.52,2.82
andhra pradesh ,sri potti sriramulu ,24.93,72.36,2.71
andhra pradesh ,srikakulam ,15.24,81.82,2.95
andhra pradesh ,visakhapatnam ,29.68,66.46,3.86
andhra pradesh ,vizianagaram ,15.48,80.86,3.66
andhra pradesh ,west godavari ,23.16,75.09,1.76
andhra pradesh ,y.s.r. ,32.52,66.52,0.96
arunachal pradesh ,anjaw ,0.43,82.05,17.52
arunachal pradesh ,changlang ,6.59,71.37,22.04
arunachal pradesh ,dibang valley ,8.47,77.9,13.64
arunachal pradesh ,east kameng ,4.79,46.71,48.49
arunachal pradesh ,east siang ,12.39,82.44,5.18
arunachal pradesh ,kurung kumey ,4.07,73.67,22.26
arunachal pradesh ,lohit ,4.99,70.83,24.18
arunachal pradesh ,lower dibang valley ,10.08,69.23,20.69
arunachal pradesh ,lower subansiri ,13.69,79.85,6.47
arunachal pradesh ,papumpare ,30.77,66.58,2.65
arunachal pradesh ,tawang ,4.61,81.37,14.02
arunachal pradesh ,tirap ,3.83,87.13,9.04
arunachal pradesh ,upper siang ,8.44,78.4,13.17
arunachal pradesh ,upper subansiri ,7.3,70.83,21.87
arunachal pradesh ,west kameng ,13.51,77.77,8.72
arunachal pradesh ,west siang ,13.09,78.49,8.41
assam ,baksa ,4.05,77.91,18.04
assam ,barpeta ,5.23,67.62,27.16
assam ,bongaigaon ,5.6,80.12,14.27
assam ,cachar ,8.97,57.36,33.67
assam ,chirang ,3.04,69.71,27.25
assam ,darrang ,3.71,72.23,24.06
assam ,dhemaji ,3.35,62.11,34.53
assam ,dhubri ,4.02,62.28,33.7
assam ,dibrugarh ,9.78,64.85,25.37
assam ,dima hasao ,5.65,69.3,25.05
assam ,goalpara ,5.75,62.64,31.61
assam ,golaghat ,8.02,77.51,14.47
assam ,hailakandi ,2.3,53.14,44.56
assam ,jorhat ,15.52,69.72,14.76
assam ,kamrup ,6.01,79.63,14.36
assam ,kamrup metropolitan ,32.7,61.79,5.51
assam ,karbi anglong ,4.52,73.75,21.74
assam ,karimganj ,5.15,67.5,27.35
assam ,kokrajhar ,2.82,71.28,25.9
assam ,lakhimpur ,7.34,66.58,26.08
assam ,morigaon ,5,69.11,25.89
assam ,nagaon ,8.81,70.8,20.39
assam ,nalbari ,4.86,78.4,16.74
assam ,sivasagar ,13.73,62.97,23.3
assam ,sonitpur ,9.7,67.97,22.33
assam ,tinsukia ,10.62,60.82,28.56
assam ,udalguri ,2.92,80.43,16.64
bihar ,araria ,0.85,54.23,44.92
bihar ,arwal ,1.42,55,43.58
bihar ,aurangabad ,5.78,57.75,36.47
bihar ,banka ,1.8,53.37,44.83
bihar ,begusarai ,3.53,63.22,33.26
bihar ,bhagalpur ,6.1,65.08,28.82
bihar ,bhojpur ,5.83,67.62,26.55
bihar ,buxar ,7.9,62.92,29.19
bihar ,darbhanga ,1.97,60.09,37.94
bihar ,gaya ,4.71,70.66,24.63
bihar ,gopalganj ,2.53,64.49,32.98
bihar ,jamui ,1.73,65.26,33.01
bihar ,jehanabad ,4.58,69.37,26.05
bihar ,kaimur (bhabua) ,6.14,69.87,23.99
